partNo,plateType,material,thickness,width,length,surfaceFinish,usage,pattern,grade,certification,description
5000392,Tread plate,Steel,1.5,250,750,Powder-coated,Decorative,Raised,Grade 6098,RoHS compliant,Tread plate 1.5mm  250mm  750mm
5000393,Checker plate,Aluminum,5,250,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Checker plate 5mm  250mm  750mm
5000394,Perforated plate,Stainless steel,4,250,750,Powder-coated,Decorative,-,Grade 426322,ASTM certified,Perforated plate 4mm  250mm  750mm
5000395,Diamond plate,Aluminum,2,250,1000,Powder-coated,Automotive,Diamond,Grade 432079,RoHS compliant,Diamond plate 2mm  250mm  1000mm
5000396,Flat plate,Brass,2.5,300,750,Polished,Industrial,-,-,ISO 9001 certified,Flat plate 2.5mm  300mm  750mm
5000397,Tread plate,Steel,3.5,200,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Tread plate 3.5mm  200mm  1500mm
5000398,Checker plate,Aluminum,1.5,250,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Checker plate 1.5mm  250mm  500mm
5000399,Perforated plate,Stainless steel,5,150,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Perforated plate 5mm  150mm  1000mm
5000400,Diamond plate,Aluminum,4,300,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Diamond plate 4mm  300mm  750mm
5000401,Flat plate,Brass,2,100,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Flat plate 2mm  100mm  750mm
5000402,Tread plate,Steel,2.5,250,750,Powder-coated,Decorative,Raised,Grade 6099,ASTM certified,Tread plate 2.5mm  250mm  750mm
5000403,Checker plate,Aluminum,3.5,200,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Checker plate 3.5mm  200mm  750mm
5000404,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Industrial,-,Grade 437836,ISO 9001 certified,Perforated plate 1.5mm  150mm  750mm
5000405,Diamond plate,Aluminum,5,250,1000,Powder-coated,Industrial,Diamond,Grade 443593,RoHS compliant,Diamond plate 5mm  250mm  1000mm
5000406,Flat plate,Brass,4,250,750,Polished,Automotive,-,-,ASTM certified,Flat plate 4mm  250mm  750mm
5000407,Tread plate,Steel,2,250,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 2mm  250mm  1500mm
5000408,Checker plate,Aluminum,2.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 2.5mm  250mm  500mm
5000409,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 3.5mm  250mm  1000mm
5000410,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 1.5mm  250mm  750mm
5000411,Flat plate,Brass,5,300,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Flat plate 5mm  300mm  750mm
5000412,Tread plate,Steel,4,200,750,Powder-coated,Industrial,Raised,Grade 6100,ISO 9001 certified,Tread plate 4mm  200mm  750mm
5000413,Checker plate,Aluminum,2,250,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Checker plate 2mm  250mm  750mm
5000414,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Automotive,-,Grade 449350,ASTM certified,Perforated plate 2.5mm  150mm  750mm
5000415,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Industrial,Diamond,Grade 455107,ISO 9001 certified,Diamond plate 3.5mm  300mm  1000mm
5000416,Flat plate,Brass,1.5,100,750,Polished,Decorative,-,-,RoHS compliant,Flat plate 1.5mm  100mm  750mm
5000417,Tread plate,Steel,5,250,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 5mm  250mm  1500mm
5000418,Checker plate,Aluminum,4,200,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Checker plate 4mm  200mm  500mm
5000419,Perforated plate,Stainless steel,2,150,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Perforated plate 2mm  150mm  1000mm
5000420,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 2.5mm  250mm  750mm
5000421,Flat plate,Brass,3.5,250,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Flat plate 3.5mm  250mm  750mm
5000422,Tread plate,Steel,1.5,250,750,Powder-coated,Automotive,Raised,Grade 6101,ASTM certified,Tread plate 1.5mm  250mm  750mm
5000423,Checker plate,Aluminum,5,250,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Checker plate 5mm  250mm  750mm
5000424,Perforated plate,Stainless steel,4,250,750,Powder-coated,Decorative,-,Grade 460864,RoHS compliant,Perforated plate 4mm  250mm  750mm
5000425,Diamond plate,Aluminum,2,250,1000,Powder-coated,Construction,Diamond,Grade 466621,ISO 9001 certified,Diamond plate 2mm  250mm  1000mm
5000426,Flat plate,Brass,2.5,300,750,Polished,Decorative,-,-,ASTM certified,Flat plate 2.5mm  300mm  750mm
5000427,Tread plate,Steel,3.5,200,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Tread plate 3.5mm  200mm  1500mm
5000428,Checker plate,Aluminum,1.5,250,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Checker plate 1.5mm  250mm  500mm
5000429,Perforated plate,Stainless steel,5,150,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 5mm  150mm  1000mm
5000430,Diamond plate,Aluminum,4,300,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Diamond plate 4mm  300mm  750mm
5000431,Flat plate,Brass,2,100,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Flat plate 2mm  100mm  750mm
5000432,Tread plate,Steel,2.5,250,750,Powder-coated,Decorative,Raised,Grade 6102,RoHS compliant,Tread plate 2.5mm  250mm  750mm
5000433,Checker plate,Aluminum,3.5,200,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Checker plate 3.5mm  200mm  750mm
5000434,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Decorative,-,Grade 472378,ASTM certified,Perforated plate 1.5mm  150mm  750mm
5000435,Diamond plate,Aluminum,5,250,1000,Powder-coated,Automotive,Diamond,Grade 478135,RoHS compliant,Diamond plate 5mm  250mm  1000mm
5000436,Flat plate,Brass,4,250,750,Polished,Industrial,-,-,ISO 9001 certified,Flat plate 4mm  250mm  750mm
5000437,Tread plate,Steel,2,250,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Tread plate 2mm  250mm  1500mm
5000438,Checker plate,Aluminum,2.5,250,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Checker plate 2.5mm  250mm  500mm
5000439,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Perforated plate 3.5mm  250mm  1000mm
5000440,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Diamond plate 1.5mm  250mm  750mm
5000441,Flat plate,Brass,5,300,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Flat plate 5mm  300mm  750mm
5000442,Tread plate,Steel,4,200,750,Powder-coated,Decorative,Raised,Grade 6103,ASTM certified,Tread plate 4mm  200mm  750mm
5000443,Checker plate,Aluminum,2,250,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Checker plate 2mm  250mm  750mm
5000444,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Industrial,-,Grade 483892,ISO 9001 certified,Perforated plate 2.5mm  150mm  750mm
5000445,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Industrial,Diamond,Grade 489649,RoHS compliant,Diamond plate 3.5mm  300mm  1000mm
5000446,Flat plate,Brass,1.5,100,750,Polished,Automotive,-,-,ASTM certified,Flat plate 1.5mm  100mm  750mm
5000447,Tread plate,Steel,5,250,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 5mm  250mm  1500mm
5000448,Checker plate,Aluminum,4,200,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 4mm  200mm  500mm
5000449,Perforated plate,Stainless steel,2,150,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 2mm  150mm  1000mm
5000450,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 2.5mm  250mm  750mm
5000451,Flat plate,Brass,3.5,250,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Flat plate 3.5mm  250mm  750mm
5000452,Tread plate,Steel,1.5,250,750,Powder-coated,Industrial,Raised,Grade 6104,ISO 9001 certified,Tread plate 1.5mm  250mm  750mm
5000453,Checker plate,Aluminum,5,250,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Checker plate 5mm  250mm  750mm
5000454,Perforated plate,Stainless steel,4,250,750,Powder-coated,Automotive,-,Grade 495406,ASTM certified,Perforated plate 4mm  250mm  750mm
5000455,Diamond plate,Aluminum,2,250,1000,Powder-coated,Industrial,Diamond,Grade 501163,ISO 9001 certified,Diamond plate 2mm  250mm  1000mm
5000456,Flat plate,Brass,2.5,300,750,Polished,Decorative,-,-,RoHS compliant,Flat plate 2.5mm  300mm  750mm
5000457,Tread plate,Steel,3.5,200,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 3.5mm  200mm  1500mm
5000458,Checker plate,Aluminum,1.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Checker plate 1.5mm  250mm  500mm
5000459,Perforated plate,Stainless steel,5,150,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Perforated plate 5mm  150mm  1000mm
5000460,Diamond plate,Aluminum,4,300,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 4mm  300mm  750mm
5000461,Flat plate,Brass,2,100,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Flat plate 2mm  100mm  750mm
5000462,Tread plate,Steel,2.5,250,750,Powder-coated,Automotive,Raised,Grade 6105,ASTM certified,Tread plate 2.5mm  250mm  750mm
5000463,Checker plate,Aluminum,3.5,200,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Checker plate 3.5mm  200mm  750mm
5000464,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Decorative,-,Grade 506920,RoHS compliant,Perforated plate 1.5mm  150mm  750mm
5000465,Diamond plate,Aluminum,5,250,1000,Powder-coated,Construction,Diamond,Grade 512677,ISO 9001 certified,Diamond plate 5mm  250mm  1000mm
5000466,Flat plate,Brass,4,250,750,Polished,Decorative,-,-,ASTM certified,Flat plate 4mm  250mm  750mm
5000467,Tread plate,Steel,2,250,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Tread plate 2mm  250mm  1500mm
5000468,Checker plate,Aluminum,2.5,250,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Checker plate 2.5mm  250mm  500mm
5000469,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Perforated plate 3.5mm  250mm  1000mm
5000470,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Diamond plate 1.5mm  250mm  750mm
5000471,Flat plate,Brass,5,300,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Flat plate 5mm  300mm  750mm
5000472,Tread plate,Steel,4,200,750,Powder-coated,Decorative,Raised,Grade 6106,RoHS compliant,Tread plate 4mm  200mm  750mm
5000473,Checker plate,Aluminum,2,250,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Checker plate 2mm  250mm  750mm
5000474,Perforated plate,Stainless steel,2.5,150,750,Powder-coated,Decorative,-,Grade 518434,ASTM certified,Perforated plate 2.5mm  150mm  750mm
5000475,Diamond plate,Aluminum,3.5,300,1000,Powder-coated,Automotive,Diamond,Grade 524191,RoHS compliant,Diamond plate 3.5mm  300mm  1000mm
5000476,Flat plate,Brass,1.5,100,750,Polished,Industrial,-,-,ISO 9001 certified,Flat plate 1.5mm  100mm  750mm
5000477,Tread plate,Steel,5,250,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Tread plate 5mm  250mm  1500mm
5000478,Checker plate,Aluminum,4,200,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Checker plate 4mm  200mm  500mm
5000479,Perforated plate,Stainless steel,2,150,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Perforated plate 2mm  150mm  1000mm
5000480,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Diamond plate 2.5mm  250mm  750mm
5000481,Flat plate,Brass,3.5,250,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Flat plate 3.5mm  250mm  750mm
5000482,Tread plate,Steel,1.5,250,750,Powder-coated,Decorative,Raised,Grade 6107,ASTM certified,Tread plate 1.5mm  250mm  750mm
5000483,Checker plate,Aluminum,5,250,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Checker plate 5mm  250mm  750mm
5000484,Perforated plate,Stainless steel,4,250,750,Powder-coated,Industrial,-,Grade 529948,ISO 9001 certified,Perforated plate 4mm  250mm  750mm
5000485,Diamond plate,Aluminum,2,250,1000,Powder-coated,Industrial,Diamond,Grade 535705,RoHS compliant,Diamond plate 2mm  250mm  1000mm
5000486,Flat plate,Brass,2.5,300,750,Polished,Automotive,-,-,ASTM certified,Flat plate 2.5mm  300mm  750mm
5000487,Tread plate,Steel,3.5,200,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 3.5mm  200mm  1500mm
5000488,Checker plate,Aluminum,1.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 1.5mm  250mm  500mm
5000489,Perforated plate,Stainless steel,5,150,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 5mm  150mm  1000mm
5000490,Diamond plate,Aluminum,4,300,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 4mm  300mm  750mm
5000491,Flat plate,Brass,2,100,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Flat plate 2mm  100mm  750mm
5000492,Tread plate,Steel,2.5,250,750,Powder-coated,Industrial,Raised,Grade 6108,ISO 9001 certified,Tread plate 2.5mm  250mm  750mm
5000493,Checker plate,Aluminum,3.5,200,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Checker plate 3.5mm  200mm  750mm
5000494,Perforated plate,Stainless steel,1.5,150,750,Powder-coated,Automotive,-,Grade 541462,ASTM certified,Perforated plate 1.5mm  150mm  750mm
5000495,Diamond plate,Aluminum,5,250,1000,Powder-coated,Industrial,Diamond,Grade 547219,ISO 9001 certified,Diamond plate 5mm  250mm  1000mm
5000496,Flat plate,Brass,4,250,750,Polished,Decorative,-,-,RoHS compliant,Flat plate 4mm  250mm  750mm
5000497,Tread plate,Steel,2,250,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Tread plate 2mm  250mm  1500mm
5000498,Checker plate,Aluminum,2.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Checker plate 2.5mm  250mm  500mm
5000499,Perforated plate,Stainless steel,3.5,250,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Perforated plate 3.5mm  250mm  1000mm
5000500,Diamond plate,Aluminum,1.5,250,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Diamond plate 1.5mm  250mm  750mm
5000501,Diamond plate,Brass,3.5,300,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Diamond plate 3.5mm  300mm  750mm
5000502,Flat plate,Steel,1.5,200,750,Powder-coated,Automotive,Raised,Grade 6109,ASTM certified,Flat plate 1.5mm  200mm  750mm
5000503,Tread plate,Aluminum,5,250,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Tread plate 5mm  250mm  750mm
5000504,Checker plate,Stainless steel,4,150,750,Powder-coated,Decorative,-,Grade 552976,RoHS compliant,Checker plate 4mm  150mm  750mm
5000505,Perforated plate,Aluminum,2,300,1000,Powder-coated,Construction,Diamond,Grade 558733,ISO 9001 certified,Perforated plate 2mm  300mm  1000mm
5000506,Diamond plate,Brass,2.5,100,750,Polished,Decorative,-,-,ASTM certified,Diamond plate 2.5mm  100mm  750mm
5000507,Diamond plate,Steel,3.5,250,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Diamond plate 3.5mm  250mm  1500mm
5000508,Flat plate,Aluminum,1.5,200,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Flat plate 1.5mm  200mm  500mm
5000509,Tread plate,Stainless steel,3.5,150,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Tread plate 3.5mm  150mm  1000mm
5000510,Checker plate,Aluminum,1.5,250,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Checker plate 1.5mm  250mm  750mm
5000511,Perforated plate,Brass,5,250,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Perforated plate 5mm  250mm  750mm
5000512,Diamond plate,Steel,4,250,750,Powder-coated,Decorative,Raised,Grade 6110,RoHS compliant,Diamond plate 4mm  250mm  750mm
5000513,Diamond plate,Aluminum,2,250,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Diamond plate 2mm  250mm  750mm
5000514,Flat plate,Stainless steel,2.5,250,750,Powder-coated,Decorative,-,Grade 564490,ASTM certified,Flat plate 2.5mm  250mm  750mm
5000515,Tread plate,Aluminum,3.5,250,1000,Powder-coated,Automotive,Diamond,Grade 570247,RoHS compliant,Tread plate 3.5mm  250mm  1000mm
5000516,Checker plate,Brass,1.5,300,750,Polished,Industrial,-,-,ISO 9001 certified,Checker plate 1.5mm  300mm  750mm
5000517,Perforated plate,Steel,3.5,200,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Perforated plate 3.5mm  200mm  1500mm
5000518,Diamond plate,Aluminum,1.5,250,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Diamond plate 1.5mm  250mm  500mm
5000519,Diamond plate,Stainless steel,5,150,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Diamond plate 5mm  150mm  1000mm
5000520,Flat plate,Aluminum,4,300,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Flat plate 4mm  300mm  750mm
5000521,Tread plate,Brass,2,100,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Tread plate 2mm  100mm  750mm
5000522,Checker plate,Steel,2.5,250,750,Powder-coated,Decorative,Raised,Grade 6111,ASTM certified,Checker plate 2.5mm  250mm  750mm
5000523,Perforated plate,Aluminum,3.5,200,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Perforated plate 3.5mm  200mm  750mm
5000524,Diamond plate,Stainless steel,1.5,150,750,Powder-coated,Industrial,-,Grade 576004,ISO 9001 certified,Diamond plate 1.5mm  150mm  750mm
5000525,Diamond plate,Aluminum,3.5,250,1000,Powder-coated,Industrial,Diamond,Grade 581761,RoHS compliant,Diamond plate 3.5mm  250mm  1000mm
5000526,Flat plate,Brass,1.5,250,750,Polished,Automotive,-,-,ASTM certified,Flat plate 1.5mm  250mm  750mm
5000527,Tread plate,Steel,5,250,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Tread plate 5mm  250mm  1500mm
5000528,Checker plate,Aluminum,4,250,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Checker plate 4mm  250mm  500mm
5000529,Perforated plate,Stainless steel,2,250,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Perforated plate 2mm  250mm  1000mm
5000530,Diamond plate,Aluminum,2.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Diamond plate 2.5mm  250mm  750mm
5000531,Diamond plate,Brass,3.5,300,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Diamond plate 3.5mm  300mm  750mm
5000532,Flat plate,Steel,1.5,200,750,Powder-coated,Industrial,Raised,Grade 6112,ISO 9001 certified,Flat plate 1.5mm  200mm  750mm
5000533,Tread plate,Aluminum,3.5,250,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Tread plate 3.5mm  250mm  750mm
5000534,Checker plate,Stainless steel,1.5,150,750,Powder-coated,Automotive,-,Grade 587518,ASTM certified,Checker plate 1.5mm  150mm  750mm
5000535,Perforated plate,Aluminum,5,300,1000,Powder-coated,Industrial,Diamond,Grade 593275,ISO 9001 certified,Perforated plate 5mm  300mm  1000mm
5000536,Diamond plate,Brass,4,100,750,Polished,Decorative,-,-,RoHS compliant,Diamond plate 4mm  100mm  750mm
5000537,Diamond plate,Steel,2,250,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Diamond plate 2mm  250mm  1500mm
5000538,Flat plate,Aluminum,2.5,200,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Flat plate 2.5mm  200mm  500mm
5000539,Tread plate,Stainless steel,3.5,150,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Tread plate 3.5mm  150mm  1000mm
5000540,Checker plate,Aluminum,1.5,250,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Checker plate 1.5mm  250mm  750mm
5000541,Perforated plate,Brass,3.5,250,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Perforated plate 3.5mm  250mm  750mm
5000542,Diamond plate,Steel,1.5,250,750,Powder-coated,Automotive,Raised,Grade 6113,ASTM certified,Diamond plate 1.5mm  250mm  750mm
5000543,Diamond plate,Aluminum,5,250,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Diamond plate 5mm  250mm  750mm
5000544,Flat plate,Stainless steel,4,250,750,Powder-coated,Decorative,-,Grade 599032,RoHS compliant,Flat plate 4mm  250mm  750mm
5000545,Tread plate,Aluminum,2,250,1000,Powder-coated,Construction,Diamond,Grade 604789,ISO 9001 certified,Tread plate 2mm  250mm  1000mm
5000546,Checker plate,Brass,2.5,300,750,Polished,Decorative,-,-,ASTM certified,Checker plate 2.5mm  300mm  750mm
5000547,Perforated plate,Steel,3.5,200,1500,Mill finish,Automotive,Raised,-,RoHS compliant,Perforated plate 3.5mm  200mm  1500mm
5000548,Diamond plate,Aluminum,1.5,250,500,Galvanized,Industrial,Checkered,Grade 6061,ISO 9001 certified,Diamond plate 1.5mm  250mm  500mm
5000549,Diamond plate,Stainless steel,3.5,150,1000,Brushed,Industrial,-,Grade 304,RoHS compliant,Diamond plate 3.5mm  150mm  1000mm
5000550,Flat plate,Aluminum,1.5,300,750,Powder-coated,Automotive,Diamond,Grade 6061,ASTM certified,Flat plate 1.5mm  300mm  750mm
5000551,Tread plate,Brass,5,100,750,Powder-coated,Industrial,-,Grade 6062,ISO 9001 certified,Tread plate 5mm  100mm  750mm
5000552,Checker plate,Steel,4,250,750,Powder-coated,Decorative,Raised,Grade 6114,RoHS compliant,Checker plate 4mm  250mm  750mm
5000553,Perforated plate,Aluminum,2,200,750,Powder-coated,Construction,Checkered,-,ISO 9001 certified,Perforated plate 2mm  200mm  750mm
5000554,Diamond plate,Stainless steel,2.5,150,750,Powder-coated,Decorative,-,Grade 610546,ASTM certified,Diamond plate 2.5mm  150mm  750mm
5000555,Diamond plate,Aluminum,3.5,250,1000,Powder-coated,Automotive,Diamond,Grade 616303,RoHS compliant,Diamond plate 3.5mm  250mm  1000mm
5000556,Flat plate,Brass,1.5,250,750,Polished,Industrial,-,-,ISO 9001 certified,Flat plate 1.5mm  250mm  750mm
5000557,Tread plate,Steel,3.5,250,1500,Mill finish,Industrial,Raised,-,RoHS compliant,Tread plate 3.5mm  250mm  1500mm
5000558,Checker plate,Aluminum,1.5,250,500,Galvanized,Automotive,Checkered,Grade 6061,ASTM certified,Checker plate 1.5mm  250mm  500mm
5000559,Perforated plate,Stainless steel,5,250,1000,Brushed,Industrial,-,Grade 304,ISO 9001 certified,Perforated plate 5mm  250mm  1000mm
5000560,Diamond plate,Aluminum,4,250,750,Powder-coated,Decorative,Diamond,Grade 6061,RoHS compliant,Diamond plate 4mm  250mm  750mm
5000561,Diamond plate,Brass,2,300,750,Powder-coated,Construction,-,Grade 6062,ISO 9001 certified,Diamond plate 2mm  300mm  750mm
5000562,Flat plate,Steel,2.5,200,750,Powder-coated,Decorative,Raised,Grade 6115,ASTM certified,Flat plate 2.5mm  200mm  750mm
5000563,Tread plate,Aluminum,3.5,250,750,Powder-coated,Automotive,Checkered,-,RoHS compliant,Tread plate 3.5mm  250mm  750mm
5000564,Checker plate,Stainless steel,1.5,150,750,Powder-coated,Industrial,-,Grade 622060,ISO 9001 certified,Checker plate 1.5mm  150mm  750mm
5000565,Perforated plate,Aluminum,3.5,300,1000,Powder-coated,Industrial,Diamond,Grade 627817,RoHS compliant,Perforated plate 3.5mm  300mm  1000mm
5000566,Diamond plate,Brass,1.5,100,750,Polished,Automotive,-,-,ASTM certified,Diamond plate 1.5mm  100mm  750mm
5000567,Diamond plate,Steel,5,250,1500,Mill finish,Industrial,Raised,-,ISO 9001 certified,Diamond plate 5mm  250mm  1500mm
5000568,Flat plate,Aluminum,4,200,500,Galvanized,Decorative,Checkered,Grade 6061,RoHS compliant,Flat plate 4mm  200mm  500mm
5000569,Tread plate,Stainless steel,2,150,1000,Brushed,Construction,-,Grade 304,ISO 9001 certified,Tread plate 2mm  150mm  1000mm
5000570,Checker plate,Aluminum,2.5,250,750,Powder-coated,Decorative,Diamond,Grade 6061,ASTM certified,Checker plate 2.5mm  250mm  750mm
5000571,Perforated plate,Brass,3.5,250,750,Powder-coated,Automotive,-,Grade 6062,RoHS compliant,Perforated plate 3.5mm  250mm  750mm
5000572,Diamond plate,Steel,1.5,250,750,Powder-coated,Industrial,Raised,Grade 6116,ISO 9001 certified,Diamond plate 1.5mm  250mm  750mm
5000573,Diamond plate,Aluminum,3.5,250,750,Powder-coated,Industrial,Checkered,-,RoHS compliant,Diamond plate 3.5mm  250mm  750mm
5000574,Flat plate,Stainless steel,1.5,250,750,Powder-coated,Automotive,-,Grade 633574,ASTM certified,Flat plate 1.5mm  250mm  750mm
5000575,Tread plate,Aluminum,5,250,1000,Powder-coated,Industrial,Diamond,Grade 639331,ISO 9001 certified,Tread plate 5mm  250mm  1000mm
5000576,Checker plate,Brass,4,300,750,Polished,Decorative,-,-,RoHS compliant,Checker plate 4mm  300mm  750mm
5000577,Perforated plate,Steel,2,200,1500,Mill finish,Construction,Raised,-,ISO 9001 certified,Perforated plate 2mm  200mm  1500mm
5000578,Diamond plate,Aluminum,2.5,250,500,Galvanized,Decorative,Checkered,Grade 6061,ASTM certified,Diamond plate 2.5mm  250mm  500mm
5000579,Diamond plate,Stainless steel,3.5,150,1000,Brushed,Automotive,-,Grade 304,RoHS compliant,Diamond plate 3.5mm  150mm  1000mm
5000580,Flat plate,Aluminum,1.5,300,750,Powder-coated,Industrial,Diamond,Grade 6061,ISO 9001 certified,Flat plate 1.5mm  300mm  750mm
5000581,Tread plate,Brass,3.5,100,750,Powder-coated,Industrial,-,Grade 6062,RoHS compliant,Tread plate 3.5mm  100mm  750mm
5000582,Checker plate,Steel,1.5,250,750,Powder-coated,Automotive,Raised,Grade 6117,ASTM certified,Checker plate 1.5mm  250mm  750mm
5000583,Perforated plate,Aluminum,5,200,750,Powder-coated,Industrial,Checkered,-,ISO 9001 certified,Perforated plate 5mm  200mm  750mm
5000584,Diamond plate,Stainless steel,4,150,750,Powder-coated,Decorative,-,Grade 645088,RoHS compliant,Diamond plate 4mm  150mm  750mm
5000585,Diamond plate,Aluminum,2,250,1000,Powder-coated,Construction,Diamond,Grade 650845,ISO 9001 certified,Diamond plate 2mm  250mm  1000mm
